id,passenger_name,age,gender,train_no,booking_type,source,destination,coach,seat_no,fare,travel_date,ticket_status,crowd_level
3633,Noah Tanaka,55,Male,54422,Online,Agartala,Warangal,S2,47,2172,3/8/2022,RAC,high
3634,Rohan Patel,37,Male,54459,Direct,Agartala,Nizamabad,A2,8,2218,8/8/2024,Confirmed,high
3635,Valeria Patel,45,Male,54496,Tatkal,Agartala,Coimbatore,S3,36,2264,5/26/2025,Cancelled,high
3636,Mia Ahmed,8,Polygender,54533,Direct,Agartala,Madurai,A1,64,2194,8/14/2025,RAC,high
3637,Nora Nakamura,37,Bigender,54570,Tatkal,Agartala,Trichy,S2,33,2182,2/17/2026,Cancelled,high
3638,Hana Brown,38,Genderqueer,54607,Tatkal,Agartala,Salem,D1,66,2170,2/20/2025,RAC,high
3639,Arjun Garcia,59,Male,54644,Counter,Agartala,Erode,S1,11,2187,10/22/2022,RAC,high
3640,Nora Lee,19,Bigender,54681,Tatkal,Agartala,Tirunelveli,A1,25,2378,10/2/2022,Confirmed,high
3641,Omar Santos,78,Non-binary,54718,Counter,Agartala,Thoothukudi,B1,59,2395,12/9/2024,Confirmed,high
3642,Eva Rao,47,Agender,54755,Direct,Agartala,Vellore,B1,1,2296,12/28/2022,Cancelled,high
3643,Layla Sharma,65,Male,54792,Direct,Agartala,Kochi,B1,59,2255,7/28/2025,RAC,high
3644,Ava Rossi,22,Agender,54829,Direct,Agartala,Thiruvananthapuram,S2,67,249,3/17/2023,RAC,low
3645,Hana Dubois,41,Bigender,54866,Tatkal,Agartala,Kozhikode,A1,40,2405,11/16/2024,Cancelled,high
3646,Mei Kowalski,50,Female,54903,Direct,Agartala,Thrissur,B2,47,2393,5/24/2026,RAC,high
3647,Ananya Silva,74,Bigender,54940,Counter,Agartala,Kollam,D1,37,2352,12/19/2022,Confirmed,high
3648,Nora Muller,21,Female,54977,Counter,Agartala,Mysore,S3,44,2369,2/21/2024,Cancelled,high
3649,Maya Nakamura,64,Genderfluid,55014,Counter,Agartala,Mangalore,A2,25,2473,3/31/2023,Confirmed,high
3650,Nora Garcia,19,Female,55051,Direct,Agartala,Hubli,D1,69,2374,11/22/2022,Waiting,high
3651,Yuki Wilson,78,Agender,55088,Tatkal,Agartala,Belgaum,S3,50,2449,9/25/2025,RAC,high
3652,Layla Kim,17,Genderfluid,55125,Counter,Agartala,Davangere,B2,31,124,7/5/2022,Waiting,low
3653,Noah Brown,58,Genderfluid,55162,Tatkal,Agartala,Vadodara,B2,5,112,2/11/2023,RAC,low
3654,Daniel Chen,35,Genderfluid,55199,Tatkal,Agartala,Rajkot,B2,8,2471,1/21/2023,RAC,high
3655,Aarav Khan,30,Polygender,55236,Counter,Agartala,Jamnagar,S3,32,146,9/17/2025,Waiting,low
3656,Leo Brown,18,Non-binary,55273,Online,Agartala,Bhavnagar,S3,55,192,10/29/2023,RAC,low
3657,Sofia Brown,71,Agender,55310,Tatkal,Agartala,Gandhinagar,B2,42,267,11/16/2022,Cancelled,low
3658,Liam Lopez,58,Agender,55347,Online,Agartala,Nashik,S1,43,139,10/16/2025,Waiting,low
3659,Yuki Dubois,71,Genderfluid,55384,Counter,Agartala,Aurangabad,B2,52,272,3/23/2022,Waiting,low
3660,Mia Dubois,14,Genderqueer,55421,Counter,Agartala,Kolhapur,B1,67,231,7/15/2024,RAC,low
3661,Daniel Rao,35,Female,55458,Direct,Agartala,Solapur,D1,52,219,7/28/2023,Cancelled,low
3662,Yuki Patel,32,Bigender,55495,Direct,Agartala,Thane,D1,10,178,5/24/2026,Waiting,low
3663,Sofia Silva,43,Genderfluid,55532,Counter,Agartala,Navi Mumbai,A2,6,369,7/4/2023,RAC,low
3664,Ethan Singh,71,Genderqueer,55569,Online,Agartala,Amravati,S3,58,299,2/9/2023,RAC,low
3665,Eva Khan,19,Bigender,55606,Online,Agartala,Jodhpur,S1,64,287,8/25/2025,RAC,low
3666,Yuki Singh,37,Non-binary,55643,Counter,Agartala,Udaipur,B2,67,304,6/3/2022,Waiting,low
3667,Lucas Rao,76,Male,55680,Online,Agartala,Ajmer,A1,22,263,10/5/2024,Waiting,low
3668,Leo Rossi,36,Female,55717,Online,Agartala,Kota,S3,36,251,9/28/2025,Cancelled,low
3669,Emma Dubois,13,Genderqueer,55754,Counter,Agartala,Bikaner,S3,5,355,6/30/2024,Confirmed,low
3670,Kenji Santos,13,Bigender,55791,Tatkal,Agartala,Alwar,D1,27,314,1/30/2022,Cancelled,low
3671,Hana Martin,61,Female,55828,Online,Agartala,Varanasi,A2,67,418,11/25/2022,RAC,low
3672,Amina Garcia,49,Polygender,55865,Tatkal,Agartala,Prayagraj,D1,41,464,9/17/2023,Cancelled,low
3673,Emma Silva,38,Female,55902,Online,Agartala,Agra,D1,53,336,8/18/2022,RAC,low
3674,Aarav Smith,34,Female,55939,Tatkal,Agartala,Meerut,S3,49,411,12/9/2024,Waiting,low
3675,Arjun Wilson,69,Male,55976,Direct,Agartala,Bareilly,D1,42,486,2/11/2024,Confirmed,low
3676,Yuki Kim,56,Genderqueer,56013,Online,Agartala,Gorakhpur,B1,46,532,9/17/2024,RAC,low
3677,Noah Kowalski,33,Non-binary,56050,Online,Agartala,Mathura,S3,41,491,9/19/2023,Waiting,low
3678,Mia Nakamura,34,Genderfluid,56087,Counter,Agartala,Dehradun,A2,68,537,5/31/2023,Confirmed,low
3679,Maya Santos,80,Female,56124,Tatkal,Agartala,Haridwar,B1,63,554,4/20/2022,RAC,low
3680,Emma Rossi,40,Male,56161,Direct,Agartala,Amritsar,A2,38,571,7/20/2023,Waiting,low
3681,Liam Dubois,45,Agender,56198,Online,Agartala,Ludhiana,S1,19,588,7/19/2024,Cancelled,low
3682,Lucas Singh,25,Genderfluid,56235,Direct,Agartala,Jalandhar,S2,3,634,3/14/2022,Confirmed,low
3683,Ethan Kim,54,Female,56272,Counter,Agartala,Patiala,S3,35,593,6/30/2023,Confirmed,low
3684,Mei Lopez,16,Non-binary,56309,Direct,Agartala,Chandigarh,A2,43,697,10/7/2024,Confirmed,low
3685,Eva Chen,11,Female,56346,Direct,Agartala,Jammu,A1,2,569,11/25/2025,Cancelled,low
3686,Valeria Patel,47,Agender,56383,Direct,Agartala,Srinagar,S1,4,673,7/25/2025,Confirmed,low
3687,Emma Garcia,53,Polygender,56420,Online,Agartala,Raipur,A2,2,632,9/9/2022,Confirmed,low
3688,Zara Kowalski,59,Genderqueer,56457,Direct,Agartala,Bilaspur,S2,12,707,6/26/2024,RAC,low
3689,Olivia Smith,74,Genderfluid,56494,Tatkal,Agartala,Durg,B1,19,608,7/15/2024,Cancelled,low
3690,Zara Lopez,55,Genderfluid,56531,Tatkal,Agartala,Jabalpur,A1,22,741,2/8/2025,Cancelled,low
3691,Hana Brown,49,Non-binary,56568,Tatkal,Agartala,Gwalior,D1,41,729,3/25/2022,RAC,low
3692,Amelia Rao,57,Genderfluid,56605,Counter,Agartala,Ujjain,S3,30,717,4/14/2024,Confirmed,low
3693,Maya Smith,11,Polygender,56642,Counter,Agartala,Rewa,A2,2,676,5/20/2025,Confirmed,low
3694,Valeria Khan,48,Polygender,56679,Direct,Agartala,Dhanbad,S1,55,780,1/15/2026,RAC,low
3695,Omar Patel,11,Female,56716,Counter,Agartala,Asansol,S2,37,797,8/29/2025,Cancelled,low
3696,Mia Nakamura,35,Genderfluid,56753,Direct,Agartala,Jamshedpur,B2,39,901,2/24/2022,Cancelled,low
3697,Kenji Hassan,48,Genderfluid,56790,Tatkal,Agartala,Tatanagar,A1,6,889,11/26/2023,RAC,low
3698,Zara Muller,79,Female,56827,Online,Agartala,Gaya,A1,36,761,11/15/2025,Confirmed,low
3699,Ishaan Wilson,63,Genderfluid,56864,Online,Agartala,Muzaffarpur,A1,4,981,12/18/2025,RAC,medium
3700,Layla Nakamura,40,Polygender,56901,Tatkal,Agartala,Bhagalpur,B2,23,940,3/31/2023,RAC,low
3701,Mei Kim,19,Female,56938,Counter,Agartala,Siliguri,B1,27,928,2/19/2026,Waiting,low
3702,Mia Garcia,52,Non-binary,56975,Online,Agartala,New Jalpaiguri,B1,22,1119,6/30/2022,RAC,medium
3703,Mia Brown,75,Female,57012,Counter,Agartala,Durgapur,A1,19,962,12/22/2024,RAC,low
3704,Hana Singh,72,Female,57049,Direct,Agartala,Howrah,B2,55,921,3/7/2024,Cancelled,low
3705,Lucas Santos,6,Genderqueer,57086,Online,Agartala,Malda,S2,29,909,7/15/2022,Confirmed,low
3706,Nora Muller,17,Male,57123,Direct,Agartala,Panaji,A2,34,955,2/4/2026,Confirmed,low
3707,Aarav Kowalski,39,Female,57160,Tatkal,Silchar,Delhi,D1,10,906,4/9/2023,Confirmed,low
3708,Sofia Nielsen,33,Polygender,57197,Direct,Silchar,New Delhi,B1,28,1039,8/5/2022,Confirmed,medium
3709,Amelia Brown,80,Bigender,57234,Tatkal,Silchar,Mumbai,B2,62,969,8/24/2022,RAC,low
3710,Emma Martin,58,Agender,57271,Direct,Silchar,Chennai,B2,72,1015,4/9/2025,Cancelled,medium
3711,Lucas Sharma,43,Agender,57308,Online,Silchar,Kolkata,B1,28,1032,3/24/2024,Cancelled,medium
3712,Nora Wilson,9,Polygender,57345,Tatkal,Silchar,Bangalore,A2,69,1107,7/6/2023,RAC,medium
3713,Olivia Muller,75,Genderfluid,57382,Online,Silchar,Hyderabad,B1,42,1124,8/17/2022,Cancelled,medium
3714,Daniel Kim,38,Agender,57419,Online,Silchar,Pune,A1,45,996,2/18/2025,Confirmed,medium
3715,Ethan Brown,66,Agender,57456,Direct,Silchar,Ahmedabad,D1,17,1158,8/7/2024,Waiting,medium
3716,Omar Lee,7,Agender,57493,Counter,Silchar,Jaipur,A2,7,1088,10/2/2024,Cancelled,medium
3717,Zara Nielsen,20,Male,57530,Direct,Silchar,Surat,B1,53,1076,10/16/2025,Waiting,medium
3718,Zara Khan,23,Male,57567,Direct,Silchar,Lucknow,S1,72,1151,10/28/2025,Waiting,medium
3719,Liam Kim,8,Female,57604,Counter,Silchar,Kanpur,B2,5,1139,1/26/2024,Waiting,medium
3720,Layla Lopez,45,Polygender,57641,Counter,Silchar,Nagpur,A2,6,1156,3/30/2023,RAC,medium
3721,Arjun Nielsen,47,Genderqueer,57678,Counter,Silchar,Indore,S2,3,1173,2/1/2024,Confirmed,medium
3722,Nora Muller,38,Polygender,57715,Counter,Silchar,Bhopal,S1,48,1190,1/20/2025,Confirmed,medium
3723,Ava Rossi,64,Polygender,57752,Tatkal,Silchar,Patna,A1,12,1178,3/25/2025,Confirmed,medium
3724,Mateo Kim,5,Genderfluid,57789,Tatkal,Silchar,Ranchi,S1,18,1224,10/18/2024,Confirmed,medium
3725,Yuki Muller,20,Male,57826,Counter,Silchar,Bhubaneswar,B1,16,1386,8/31/2022,RAC,medium
3726,Ishaan Martin,50,Polygender,57863,Counter,Silchar,Cuttack,A1,47,1287,1/20/2024,RAC,medium
3727,Ananya Santos,47,Polygender,57900,Tatkal,Silchar,Puri,S1,72,1217,12/26/2023,Cancelled,medium
3728,Ananya Lopez,79,Genderqueer,57937,Online,Silchar,Rourkela,B1,39,1350,1/28/2026,Cancelled,medium
3729,Mei Sharma,62,Bigender,57974,Tatkal,Silchar,Sambalpur,B2,52,1396,12/29/2025,Confirmed,medium
3730,Noah Singh,11,Genderqueer,58011,Direct,Silchar,Guwahati,S3,17,1384,2/5/2025,Cancelled,medium
3731,Mateo Lopez,64,Genderfluid,58048,Direct,Silchar,Dibrugarh,A2,43,1430,10/10/2023,RAC,medium
3732,Mateo Rao,80,Polygender,58085,Counter,Silchar,Agartala,A1,6,1418,5/2/2022,RAC,medium
3733,Olivia Muller,27,Polygender,58122,Counter,Silchar,Visakhapatnam,A2,8,1580,8/23/2022,RAC,medium
3734,Olivia Lee,65,Polygender,58159,Counter,Silchar,Vijayawada,S3,12,1510,9/17/2025,Cancelled,medium
3735,Leo Lopez,6,Genderfluid,58196,Online,Silchar,Guntur,D1,57,1411,2/8/2022,Waiting,medium
3736,Valeria Rao,6,Bigender,58233,Counter,Silchar,Tirupati,S3,70,1486,7/18/2022,RAC,medium
3737,Ananya Ahmed,37,Agender,58270,Direct,Silchar,Rajahmundry,A2,50,1590,5/22/2022,Waiting,medium
3738,Rohan Chen,70,Genderqueer,58307,Tatkal,Silchar,Warangal,S3,12,1520,3/30/2022,RAC,medium
3739,Ananya Kim,64,Bigender,58344,Direct,Silchar,Nizamabad,B1,15,1566,8/15/2024,Cancelled,medium
3740,Eva Brown,48,Female,58381,Online,Silchar,Coimbatore,A2,30,1612,3/6/2022,Cancelled,medium
3741,Arjun Martin,27,Female,58418,Tatkal,Silchar,Madurai,B1,68,1542,3/4/2024,Confirmed,medium
3742,Liam Hassan,49,Agender,58455,Counter,Silchar,Trichy,A2,71,1530,3/19/2026,RAC,medium
3743,Kenji Santos,23,Female,58492,Direct,Silchar,Salem,S2,16,1518,5/4/2022,Waiting,medium
3744,Noah Lopez,5,Bigender,58529,Tatkal,Silchar,Erode,S1,35,1535,9/26/2023,RAC,medium
3745,Mia Smith,78,Genderfluid,58566,Direct,Silchar,Tirunelveli,S2,51,1726,3/11/2025,Waiting,high
3746,Omar Patel,28,Non-binary,58603,Direct,Silchar,Thoothukudi,S2,8,1743,4/18/2026,Waiting,high
3747,Ava Muller,36,Male,58640,Tatkal,Silchar,Vellore,S2,62,1644,9/1/2022,Cancelled,medium
3748,Ava Nakamura,41,Genderfluid,58677,Tatkal,Silchar,Kochi,D1,16,1603,3/12/2023,Confirmed,medium
3749,Sofia Kim,75,Bigender,58714,Direct,Silchar,Thiruvananthapuram,S2,67,1997,4/8/2023,RAC,high
3750,Zara Dubois,58,Female,58751,Online,Silchar,Kozhikode,A1,18,1753,3/26/2023,RAC,high
3751,Daniel Martin,53,Non-binary,58788,Tatkal,Silchar,Thrissur,S1,17,1741,6/19/2024,Confirmed,high
3752,Ananya Hassan,6,Agender,58825,Direct,Silchar,Kollam,B2,38,1700,5/4/2022,Confirmed,medium
3753,Nora Smith,47,Agender,58862,Counter,Silchar,Mysore,B2,55,1717,1/27/2022,Waiting,medium
3754,Ava Dubois,35,Polygender,58899,Online,Silchar,Mangalore,A2,34,1821,7/9/2025,Confirmed,high
3755,Yuki Singh,60,Male,58936,Counter,Silchar,Hubli,S3,44,1722,6/29/2025,RAC,high
3756,Lucas Chen,29,Polygender,58973,Counter,Silchar,Belgaum,B1,28,1797,3/25/2023,Waiting,high
3757,Amelia Lopez,15,Agender,59010,Tatkal,Silchar,Davangere,S1,37,1872,9/23/2025,RAC,high
3758,Eva Rao,56,Bigender,59047,Counter,Silchar,Vadodara,A1,5,1860,11/19/2022,Cancelled,high
3759,Noah Martin,22,Genderqueer,59084,Tatkal,Silchar,Rajkot,D1,28,1819,8/30/2022,RAC,high
3760,Liam Khan,53,Agender,59121,Direct,Silchar,Jamnagar,B1,13,1894,12/22/2023,RAC,high
3761,Hana Patel,75,Polygender,59158,Tatkal,Silchar,Bhavnagar,S2,30,1940,4/21/2026,RAC,high
3762,Hana Hassan,16,Agender,59195,Counter,Silchar,Gandhinagar,S3,47,2015,7/13/2024,Cancelled,high
3763,Mateo Nielsen,53,Genderfluid,59232,Online,Silchar,Nashik,S2,17,1887,8/11/2023,RAC,high
3764,Valeria Ahmed,38,Bigender,59269,Online,Silchar,Aurangabad,S3,43,2020,4/1/2024,RAC,high
3765,Noah Nielsen,67,Bigender,59306,Tatkal,Silchar,Kolhapur,A2,43,1979,1/27/2024,Confirmed,high
3766,Lucas Rao,60,Female,59343,Online,Silchar,Solapur,S2,44,1967,3/17/2022,Confirmed,high
3767,Ishaan Kowalski,54,Polygender,59380,Direct,Silchar,Thane,S1,28,1926,6/19/2025,Confirmed,high
3768,Aarav Chen,8,Agender,59417,Counter,Silchar,Navi Mumbai,B2,10,2117,10/6/2023,RAC,high
3769,Mei Sharma,77,Female,59454,Counter,Silchar,Amravati,B1,63,2047,1/26/2026,RAC,high
3770,Ananya Smith,28,Female,59491,Tatkal,Silchar,Jodhpur,A2,55,2035,1/12/2026,Waiting,high
3771,Omar Hassan,23,Genderfluid,59528,Direct,Silchar,Udaipur,D1,14,2052,12/29/2023,Confirmed,high
3772,Ananya Rao,70,Genderqueer,59565,Direct,Silchar,Ajmer,A2,55,2011,7/4/2024,Cancelled,high
3773,Amelia Khan,64,Agender,59602,Counter,Silchar,Kota,B1,35,1999,7/15/2022,Waiting,high
3774,Nora Singh,68,Male,59639,Tatkal,Silchar,Bikaner,A2,57,2103,11/12/2024,Waiting,high
3775,Omar Chen,44,Genderfluid,59676,Tatkal,Silchar,Alwar,S3,40,2062,11/28/2022,RAC,high
3776,Yuki Hassan,64,Genderfluid,59713,Counter,Silchar,Varanasi,S2,13,2166,6/9/2022,Confirmed,high
3777,Noah Sharma,9,Polygender,59750,Tatkal,Silchar,Prayagraj,S2,64,2212,9/28/2023,RAC,high
3778,Hana Garcia,13,Polygender,59787,Counter,Silchar,Agra,S1,39,2084,4/19/2022,Confirmed,high
3779,Leo Garcia,46,Male,59824,Direct,Silchar,Meerut,S1,2,2159,2/15/2025,Waiting,high
3780,Amelia Santos,69,Non-binary,59861,Online,Silchar,Bareilly,S2,56,2234,6/7/2023,Confirmed,high
3781,Mia Brown,8,Non-binary,59898,Tatkal,Silchar,Gorakhpur,A1,66,2280,6/22/2022,RAC,high
3782,Layla Kim,24,Genderfluid,59935,Online,Silchar,Mathura,A2,19,2239,3/21/2024,Waiting,high
3783,Rohan Santos,39,Non-binary,59972,Tatkal,Silchar,Dehradun,B2,28,2285,1/2/2022,Cancelled,high
3784,Aarav Rao,31,Female,60009,Counter,Silchar,Haridwar,S3,16,2302,4/1/2026,Cancelled,high
3785,Yuki Kowalski,31,Female,60046,Direct,Silchar,Amritsar,S1,56,2319,5/7/2023,Cancelled,high
3786,Leo Kim,27,Female,60083,Tatkal,Silchar,Ludhiana,S2,52,2336,2/25/2024,Waiting,high
3787,Kenji Sharma,28,Genderqueer,60120,Online,Silchar,Jalandhar,B1,31,2382,10/6/2024,Waiting,high
3788,Ava Wilson,28,Agender,60157,Tatkal,Silchar,Patiala,A2,51,2341,3/25/2022,Cancelled,high
3789,Daniel Nielsen,38,Genderqueer,60194,Online,Silchar,Chandigarh,B1,37,2445,8/20/2025,Waiting,high
3790,Olivia Patel,59,Female,60231,Direct,Silchar,Jammu,S3,69,2317,3/16/2023,Confirmed,high
3791,Sofia Silva,61,Agender,60268,Tatkal,Silchar,Srinagar,A1,36,2421,4/23/2023,RAC,high
3792,Mei Rossi,39,Genderfluid,60305,Direct,Silchar,Raipur,A2,1,2380,7/18/2022,RAC,high
3793,Yuki Brown,43,Agender,60342,Direct,Silchar,Bilaspur,A2,14,2455,11/14/2024,Confirmed,high
3794,Liam Kim,11,Polygender,60379,Tatkal,Silchar,Durg,B2,16,2356,1/7/2023,Confirmed,high
3795,Mei Kowalski,8,Genderqueer,60416,Direct,Silchar,Jabalpur,S1,37,2489,5/22/2022,Cancelled,high
3796,Arjun Ahmed,19,Genderfluid,60453,Online,Silchar,Gwalior,S2,57,2477,1/11/2022,Cancelled,high
3797,Mateo Singh,61,Polygender,60490,Online,Silchar,Ujjain,S3,1,2465,5/19/2026,Waiting,high
3798,Valeria Dubois,27,Bigender,60527,Direct,Silchar,Rewa,A1,53,2424,7/10/2025,Confirmed,high
3799,Noah Lee,51,Non-binary,60564,Direct,Silchar,Dhanbad,S2,42,128,3/27/2026,Cancelled,low
3800,Valeria Brown,77,Genderfluid,60601,Direct,Silchar,Asansol,S3,17,145,2/22/2022,Confirmed,low
3801,Amelia Kim,64,Genderfluid,60638,Tatkal,Silchar,Jamshedpur,A1,34,249,7/18/2024,RAC,low
3802,Zara Singh,68,Genderfluid,60675,Direct,Silchar,Tatanagar,A1,57,237,2/20/2024,Waiting,low
3803,Leo Singh,46,Genderqueer,60712,Online,Silchar,Gaya,S1,51,109,6/29/2024,Cancelled,low
3804,Rohan Tanaka,64,Agender,60749,Direct,Silchar,Muzaffarpur,S1,59,329,6/28/2024,Confirmed,low
3805,Yuki Singh,32,Male,60786,Tatkal,Silchar,Bhagalpur,B2,21,288,6/22/2024,RAC,low
3806,Ava Singh,57,Genderqueer,60823,Tatkal,Silchar,Siliguri,S1,61,276,6/4/2025,Confirmed,low
3807,Layla Tanaka,25,Genderqueer,60860,Tatkal,Silchar,New Jalpaiguri,S3,63,467,12/6/2025,Cancelled,low
3808,Kenji Patel,38,Agender,60897,Direct,Silchar,Durgapur,S2,58,310,1/5/2023,RAC,low
3809,Zara Muller,74,Female,60934,Counter,Silchar,Howrah,D1,52,269,12/22/2023,RAC,low
3810,Nora Silva,46,Genderfluid,60971,Direct,Silchar,Malda,S2,25,257,3/18/2026,RAC,low
3811,Maya Sharma,39,Female,61008,Online,Silchar,Panaji,B2,32,303,11/5/2024,Confirmed,low
3812,Yuki Sharma,65,Polygender,61045,Counter,Visakhapatnam,Delhi,D1,64,513,12/1/2025,RAC,low
3813,Daniel Patel,31,Bigender,61082,Online,Visakhapatnam,New Delhi,S3,19,646,8/8/2023,Waiting,low
3814,Maya Garcia,71,Genderfluid,61119,Direct,Visakhapatnam,Mumbai,S3,50,576,12/17/2024,Confirmed,low
3815,Emma Wilson,12,Genderfluid,61156,Tatkal,Visakhapatnam,Chennai,D1,41,622,5/30/2025,RAC,low
3816,Ethan Rossi,21,Bigender,61193,Online,Visakhapatnam,Kolkata,D1,50,639,3/22/2024,RAC,low
3817,Leo Rossi,36,Bigender,61230,Online,Visakhapatnam,Bangalore,B2,1,714,10/29/2025,RAC,low
3818,Ishaan Singh,29,Male,61267,Direct,Visakhapatnam,Hyderabad,B1,52,731,7/31/2022,Confirmed,low
3819,Daniel Muller,12,Polygender,61304,Tatkal,Visakhapatnam,Pune,S3,6,603,9/26/2022,RAC,low
3820,Liam Hassan,59,Genderqueer,61341,Counter,Visakhapatnam,Ahmedabad,S2,27,765,9/25/2022,Cancelled,low
3821,Zara Muller,53,Bigender,61378,Counter,Visakhapatnam,Jaipur,S1,10,695,4/20/2026,RAC,low
3822,Ananya Patel,41,Polygender,61415,Tatkal,Visakhapatnam,Surat,B2,46,683,1/14/2025,Waiting,low
3823,Nora Ahmed,58,Non-binary,61452,Tatkal,Visakhapatnam,Lucknow,B2,40,758,3/7/2026,Confirmed,low
3824,Mei Wilson,31,Genderfluid,61489,Tatkal,Visakhapatnam,Kanpur,A2,7,746,3/3/2026,RAC,low
3825,Olivia Khan,69,Non-binary,61526,Counter,Visakhapatnam,Nagpur,A2,58,763,4/20/2025,RAC,low
3826,Sofia Dubois,29,Genderqueer,61563,Tatkal,Visakhapatnam,Indore,A2,41,780,3/14/2022,RAC,low
3827,Rohan Nakamura,58,Female,61600,Counter,Visakhapatnam,Bhopal,B1,15,797,4/22/2023,Confirmed,low
3828,Lucas Patel,45,Genderfluid,61637,Direct,Visakhapatnam,Patna,B1,35,785,9/23/2022,Confirmed,low
3829,Layla Wilson,48,Female,61674,Online,Visakhapatnam,Ranchi,D1,67,831,4/30/2024,Confirmed,low
3830,Mia Smith,13,Genderfluid,61711,Online,Visakhapatnam,Bhubaneswar,S3,15,993,8/7/2022,Cancelled,medium
3831,Amelia Lee,51,Agender,61748,Direct,Visakhapatnam,Cuttack,B2,46,894,7/16/2025,RAC,low
3832,Nora Kim,56,Genderqueer,61785,Counter,Visakhapatnam,Puri,A2,20,824,11/10/2025,Waiting,low
3833,Amelia Kowalski,44,Non-binary,61822,Direct,Visakhapatnam,Rourkela,A2,3,957,9/8/2022,Waiting,low
3834,Liam Kowalski,20,Agender,61859,Counter,Visakhapatnam,Sambalpur,A1,62,1003,5/8/2022,RAC,medium
3835,Hana Tanaka,48,Polygender,61896,Tatkal,Visakhapatnam,Guwahati,B1,22,991,5/9/2024,Confirmed,medium
3836,Rohan Tanaka,14,Genderfluid,61933,Tatkal,Visakhapatnam,Dibrugarh,S2,53,1037,7/17/2025,Confirmed,medium
3837,Noah Lee,76,Bigender,61970,Online,Visakhapatnam,Agartala,S3,38,1025,6/5/2023,Waiting,medium
3838,Aarav Lopez,6,Polygender,62007,Tatkal,Visakhapatnam,Silchar,A1,59,1013,11/30/2022,Confirmed,medium
3839,Yuki Sharma,18,Genderqueer,62044,Online,Visakhapatnam,Vijayawada,B1,42,1117,1/4/2024,Confirmed,medium
3840,Hana Nakamura,34,Female,62081,Online,Visakhapatnam,Guntur,A2,69,1018,6/18/2023,RAC,medium
3841,Nora Dubois,20,Polygender,62118,Direct,Visakhapatnam,Tirupati,B1,67,1093,9/3/2024,Waiting,medium
3842,Ishaan Santos,68,Genderfluid,62155,Online,Visakhapatnam,Rajahmundry,S2,3,1197,7/20/2023,RAC,medium
3843,Zara Rao,11,Genderfluid,62192,Direct,Visakhapatnam,Warangal,S3,38,1127,1/26/2025,Cancelled,medium
3844,Mateo Ahmed,66,Non-binary,62229,Tatkal,Visakhapatnam,Nizamabad,B1,68,1173,5/27/2022,Cancelled,medium
3845,Layla Nielsen,72,Female,62266,Direct,Visakhapatnam,Coimbatore,S1,62,1219,3/31/2023,Cancelled,medium
3846,Amelia Patel,58,Female,62303,Online,Visakhapatnam,Madurai,B1,68,1149,7/14/2025,Confirmed,medium
3847,Yuki Smith,14,Female,62340,Tatkal,Visakhapatnam,Trichy,D1,60,1137,8/17/2025,Waiting,medium
3848,Mia Lopez,21,Non-binary,62377,Tatkal,Visakhapatnam,Salem,A2,17,1125,2/25/2025,Waiting,medium
3849,Lucas Sharma,9,Polygender,62414,Direct,Visakhapatnam,Erode,S1,50,1142,5/23/2026,Waiting,medium
3850,Omar Wilson,71,Bigender,62451,Direct,Visakhapatnam,Tirunelveli,S3,55,1333,4/26/2022,RAC,medium
3851,Omar Singh,74,Non-binary,62488,Direct,Visakhapatnam,Thoothukudi,A1,35,1350,6/1/2022,RAC,medium
3852,Aarav Smith,30,Bigender,62525,Counter,Visakhapatnam,Vellore,S3,50,1251,7/15/2024,RAC,medium
3853,Rohan Patel,29,Male,62562,Counter,Visakhapatnam,Kochi,D1,53,1210,1/14/2025,RAC,medium
3854,Ishaan Ahmed,29,Polygender,62599,Tatkal,Visakhapatnam,Thiruvananthapuram,D1,11,1604,6/21/2024,Confirmed,medium
3855,Amelia Sharma,57,Male,62636,Tatkal,Visakhapatnam,Kozhikode,B2,34,1360,5/12/2026,Cancelled,medium
3856,Mei Smith,70,Genderfluid,62673,Online,Visakhapatnam,Thrissur,B2,63,1348,12/22/2023,Waiting,medium
3857,Sofia Garcia,28,Bigender,62710,Online,Visakhapatnam,Kollam,S2,46,1307,9/21/2022,Waiting,medium
3858,Maya Lee,20,Polygender,62747,Counter,Visakhapatnam,Mysore,S2,33,1324,4/17/2022,RAC,medium
3859,Aarav Lee,70,Male,62784,Tatkal,Visakhapatnam,Mangalore,S3,64,1428,5/18/2024,Confirmed,medium
3860,Ethan Singh,78,Agender,62821,Tatkal,Visakhapatnam,Hubli,S2,70,1329,10/4/2023,Cancelled,medium
3861,Omar Smith,15,Bigender,62858,Direct,Visakhapatnam,Belgaum,B2,36,1404,2/7/2022,Cancelled,medium
3862,Hana Muller,32,Female,62895,Tatkal,Visakhapatnam,Davangere,D1,22,1479,4/16/2023,RAC,medium
3863,Ava Tanaka,74,Non-binary,62932,Direct,Visakhapatnam,Vadodara,S2,20,1467,2/26/2023,RAC,medium
3864,Hana Smith,70,Genderqueer,62969,Counter,Visakhapatnam,Rajkot,A1,10,1426,3/7/2023,Waiting,medium
3865,Omar Smith,32,Bigender,63006,Online,Visakhapatnam,Jamnagar,S2,53,1501,2/14/2025,Waiting,medium
3866,Amelia Martin,68,Genderfluid,63043,Direct,Visakhapatnam,Bhavnagar,B1,10,1547,10/25/2022,Confirmed,medium
